id|title|published_date|quiz_description|quiz_category|quiz_type|thumbnail|canvas|source|visits|search_tags|rating|author|geo_tags|interests|featured|sponsored|active
1|Biggest Films of the 2010s|2020-1-18|Top 10 Highest Worldwide Grossing Films 2010-2020|1|1|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/cc843ef3-f455-4bab-1ed5-e4c457161d00/public||www.imdb.com/movies/2010+|0|[movies, films]|5|quizgod|||0|0|1
2|Most Populated Countries|2020-2-4|Can you guess the the 10 most populated countries as of 2015.|3|2|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/32cb4221-bb9a-4c2c-ae8e-d3f9d27edb00/public|world|https://i.pinimg.com/originals/e0/2a/82/e02a822662ebc27b7950c9df4e25e32b.png|0|[countries, population]|5|quizgod|||0|0|1
3|Highest earning sport stars|2020-2-6|Who would you guess are the highest earners in the world of sport including salaries, prizemoney and endorsements|2|1|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/d61b72fe-5b27-4f5e-6f1a-564c5016e300/public||https://media.npr.org/assets/img/2020/06/10/gettyimages-200199027-001-b5fb3d8d8469ab744d9e97706fa67bc5c0e4fa40-s1600-c85.webp|0|[sports, sport, athletes, earnings, money, wealth]|5|quizgod|||0|0|0
4|Highest earning sport stars|2020-2-4|Who would you guess are the highest earners in the world of sport including salaries, prizemoney and endorsements|3|1|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/d61b72fe-5b27-4f5e-6f1a-564c5016e300/public||https://media.npr.org/assets/img/2020/06/10/gettyimages-200199027-001-b5fb3d8d8469ab744d9e97706fa67bc5c0e4fa40-s1600-c85.webp||[sports, sport, athletes, earnings, money, wealth]||quizgod|||0|0|0
5|Highest mountains|2020-2-4|Could you guess the names of the highest peaks of our planet|7|1|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4ead6eac-1c63-4d43-3745-ccd7aad02400/public||https://www.atlasandboots.com/wp-content/uploads/2019/05/ama-dablam2-most-beautiful-mountains-in-the-world.jpg||[geography, mountains]||quizgod|||0|0|0
6|Largest land animals|2020-2-4|What are the largest beasts roaming our planet today by body size|6|1|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/d9d3c9e6-07b9-43d9-092d-444c90428600/public||https://a-z-animals.com/media/2021/01/mammals-400x300.jpg||[animals, mammals, nature, wild]||quizgod|||0|0|0
7|Who is it: Tennis Players of the 90s|2020-2-4|Can you guess the names of this players during the wonderful 90s era of tennis|2|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4ddb9fbb-26e5-4a8d-71fa-14ab29a82d00/public|None|https://www.businessinsider.com/where-are-they-now-the-biggest-tennis-stars-1990s-2019-8?r=US&IR=T#jim-courier-won-four-grand-slam-singles-titles-he-was-the-youngest-man-to-reach-the-finals-of-all-four-grand-slam-singles-tournaments-at-the-age-of-22-years-and-11-months-1|0|[tennis, nineties, 90s, sports]|5|quizgod|||0|0|1
8|The biggest drinkers|2020-6-15|We all love a drink - but some countries like it more than others. Can you pick who drinks more|8|1|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/cef34212-b18d-4135-2f78-c6b73b3ef000/public|None|https://worldpopulationreview.com/country-rankings/alcohol-consumption-by-country|0|[drinking, alcohol, drinkers]|5|quizgod|||0|0|1
9|Who is wealthier on average|2020-7-8|Can you correctly select the wealthier country based on income per capita on a PPP basis|4|4|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/99f09d58-caa8-46e4-6663-8eb8dec86000/public|None|https://www.worldometers.info/gdp/gdp-per-capita/|0|[money, wealth, economy, GDP, economies, gross domestic product]|5|quizgod|||0|0|1
10|The biggest cities in Blighty|2020-7-11|Name the 10 largest cities in the UK|3|2|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/b480b5ac-739d-42b3-2980-bce8400a6100/public|united_kingdom|https://citymonitor.ai/environment/where-are-largest-cities-britain-1404|0|[england, uk, united kingdom, biggest cities, british cities, cities, city]|5|quizgod|||0|0|1
