id|answer_index|anwer|alternate_answer|answer_value|answer_value_type|answer_description|answer_image|image_source|image_source_url|answer_dimensions|quiz_id|active
1|1|Avengers: Endgame||853370000|853370000|After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos actions and restore balance to the universe.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/da3be323-523c-42f6-0767-67df7ccf1000/public|Disney|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
2|2|Star Wars: Episode VII - The Force Awakens|The Force Awakens|936000000|936000000|As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/991c92e2-710d-4d62-c0c1-f2d52deddb00/public|Disney|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
3|3|Jurassic World||936660000|936660000|A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/891f3257-ccf6-402e-9c46-961e98f8b200/public|Universal|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
4|4|The Lion King||543600000|543600000|After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/77688e1d-deb0-4129-b4c0-70fdd3eb9400/public|Disney|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
5|5|Avengers Assemble||623380000|623380000|Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/72e3b47d-a4d7-4a71-02cc-78933f53a700/public|Disney|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
6|6|Fast and Furious 7||3530100000|3530100000|Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/a6fe3cf3-629e-4914-1228-a08d1abb8200/public|Universal|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
7|7|Frozen 2||433000000|433000000|Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c89b63d0-e61c-4dfd-ec4a-832483a34900/public|Disney|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
8|8|Black Panther||700060000|700060000|T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/6a4907d0-4b2e-4356-76d5-1b19d1ee4c00/public|Disney|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
9|9|Beauty and the Beast||504010000|504010000|A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/12d9a31b-b444-4a4c-ca9b-4c428a16e900/public|Disney|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
10|10|The Incredibles 2|Incredibles 2|608580000|608580000|The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/261da242-1362-47a5-f286-607a506a6500/public|Disney|https://en.wikipedia.org/wiki/2010s_in_film|cover|1|1
11|1|China||1439323776|1439323776|China|[-10,0]|||[115,33]|2|1
12|2|United States of America|United States|331002651|331002651|United States|[-30,0]|||[-79, 41]|2|1
